Month,   HPI(NSA),       Loans(Billions)     
1,     23.536818873,     130.0257
2,     23.687178684,     130.6318
3,     23.932483979,     131.1786
4,     24.253337252,     131.6391
5,     24.45817752,     131.7233
6,     24.511278179,     131.8532
7,     24.574166182,     131.83
8,     24.67288923,     131.9313
9,     24.760591767,     132.1325
10,     24.845445253,     132.863
11,     24.959280217,     133.3819
12,     25.100580885,     134.0939
13,     25.246415971,     135.0484
14,     25.401804343,     136.2984
15,     25.620950143,     137.9788
16,     25.903468379,     139.8826
17,     26.113319872,     140.9549
18,     26.260985682,     141.6213
19,     26.441890359,     142.5971
20,     26.613677976,     143.755
21,     26.748844927,     144.7779
22,     26.889577114,     146.071
23,     27.086235351,     147.2806
24,     27.292901743,     148.5136
25,     27.487414948,     149.6394
26,     27.728043732,     151.6731
27,     28.098316344,     153.6788
28,     28.610781549,     156.0952
29,     29.057555912,     158.592
30,     29.376396811,     160.6562
31,     29.713861303,     162.9974
32,     30.080734979,     165.634
33,     30.396216911,     167.5557
34,     30.687393206,     170.2452
35,     31.007600835,     172.8184
36,     31.309231766,     175.0673
37,     31.583363,     177.7143
38,     31.853302723,     180.32
39,     32.180474601,     183.0011
40,     32.622279077,     185.8235
41,     33.071367832,     188.9707
42,     33.466957112,     192.106
43,     33.875667046,     195.0134
44,     34.267831204,     198.3252
45,     34.607875486,     201.099
46,     34.93619275,     204.5151
47,     35.25169027,     207.5855
48,     35.529856025,     210.462
49,     35.81707536,     211.9456
50,     36.154368736,     213.6288
51,     36.584747291,     215.6358
52,     37.124749264,     218.0995
53,     37.62815557,     220.5903
54,     38.034691026,     223.9688
55,     38.432790511,     228.0921
56,     38.851646862,     230.9436
57,     39.236195407,     233.9281
58,     39.536141022,     236.8872
59,     39.791182062,     239.268
60,     40.016630776,     241.6747
61,     40.240781749,     244.1149
62,     40.509939787,     247.048
63,     40.852400867,     248.9923
64,     41.230243258,     250.6829
65,     41.503201517,     251.3254
66,     41.70701697,     252.0475
67,     41.998819967,     253.6243
68,     42.361563626,     255.0428
69,     42.666766927,     256.2875
70,     42.830802339,     258.4035
71,     42.896811424,     260.6068
72,     43.002750726,     262.2834
73,     43.174314001,     263.7707
74,     43.366319281,     265.1531
75,     43.604370629,     266.8392
76,     43.879298813,     268.6235
77,     44.143868194,     271.2572
78,     44.372872678,     273.4038
79,     44.529616221,     274.7618
80,     44.604965478,     277.0577
81,     44.655669671,     278.7288
82,     44.685210735,     280.1515
83,     44.681090908,     281.6173
84,     44.688580777,     283.5867
85,     44.751554454,     285.4002
86,     44.85884152,     287.5623
87,     44.990993121,     290.207
88,     45.127199969,     291.8256
89,     45.198372857,     293.82
90,     45.171380992,     295.6466
91,     45.112744716,     295.9582
92,     45.091391753,     297.0876
93,     45.119585113,     297.9524
94,     45.196780273,     298.668
95,     45.340225605,     299.2424
96,     45.539245411,     299.653
97,     45.752782193,     302.0905
98,     45.969530238,     303.1623
99,     46.20640154,     304.3282
100,     46.475041142,     306.2567
101,     46.756659649,     308.3139
102,     47.033680551,     310.8249
103,     47.277691808,     314.1926
104,     47.444299789,     317.2201
105,     47.560835143,     320.6919
106,     47.673515577,     324.0551
107,     47.785465966,     327.3763
108,     47.89929889,     330.3526
109,     48.023979114,     333.7075
110,     48.176848609,     337.6043
111,     48.40443376,     342.0163
112,     48.716256114,     346.1789
113,     49.046439459,     349.7492
114,     49.331521078,     353.7386
115,     49.561132201,     357.1593
116,     49.724343385,     360.6726
117,     49.833540054,     364.7314
118,     49.934773474,     367.6312
119,     50.066568652,     372.3966
120,     50.253588281,     376.2431
121,     50.460781977,     379.0098
122,     50.656389107,     383.1147
123,     50.853420208,     387.219
124,     51.067152152,     390.5744
125,     51.335579113,     394.4445
126,     51.670767624,     397.6346
127,     52.036463271,     401.1072
128,     52.398495402,     405.2277
129,     52.668149053,     409.7736
130,     52.844717028,     414.3569
131,     52.995319483,     418.6368
132,     53.170289714,     422.881
133,     53.376225929,     427.4241
134,     53.646338449,     432.0842
135,     53.998528873,     437.0619
136,     54.434596287,     441.9351
137,     54.958037953,     446.7371
138,     55.496739234,     451.2358
139,     55.95350683,     457.1174
140,     56.215149093,     463.3312
141,     56.353152494,     469.3344
142,     56.601740049,     473.904
143,     56.941474517,     479.2431
144,     57.223489588,     490.7496
145,     57.501592966,     502.8917
146,     57.818609496,     508.451
147,     58.228522221,     516.5584
148,     58.682095801,     524.8637
149,     59.091578571,     532.1835
150,     59.540478521,     541.697
151,     59.927698526,     549.4396
152,     60.199652509,     556.2838
153,     60.437478706,     563.1903
154,     60.635343553,     570.7208
155,     60.802642698,     577.6559
156,     60.974180863,     585.6643
157,     61.206019029,     591.5896
158,     61.517782124,     595.8702
159,     61.936325133,     601.4244
160,     62.44047995,     608.9203
161,     62.974637974,     616.2145
162,     63.47661524,     622.752
163,     63.870820498,     629.8806
164,     64.171105794,     637.3257
165,     64.463387001,     644.2468
166,     64.773339457,     651.3834
167,     65.092504836,     656.8613
168,     65.410957595,     663.0215
169,     65.725825493,     676.4696
170,     66.090170637,     682.9873
171,     66.565050216,     688.8876
172,     67.113379931,     698.2005
173,     67.65942193,     704.2758
174,     68.172139842,     711.8701
175,     68.668616091,     720.4829
176,     69.103717323,     730.5124
177,     69.412991148,     739.1838
178,     69.658865942,     745.1427
179,     69.880666399,     752.6692
180,     70.115025301,     759.8737
181,     70.31240877,     765.8439
182,     70.459565149,     774.696
183,     70.663275176,     781.6314
184,     70.908839233,     788.7238
185,     71.15653715,     797.8361
186,     71.401163896,     805.6156
187,     71.581074354,     814.3
188,     71.604551836,     819.2724
189,     71.476377169,     823.2676
190,     71.24190612,     829.0683
191,     70.980537988,     834.2879
192,     70.850344696,     841.674
193,     70.813196618,     846.6231
194,     70.817267382,     851.7665
195,     70.918751496,     857.3228
196,     71.055664055,     860.6241
197,     71.206440642,     862.4254
198,     71.357529541,     865.8843
199,     71.410191601,     864.5143
200,     71.333015068,     863.7478
201,     71.318278238,     864.3685
202,     71.434657917,     865.7363
203,     71.542905147,     867.0885
204,     71.610034512,     868.1165
205,     71.737401157,     871.0307
206,     71.942472221,     873.3764
207,     72.089760331,     874.6551
208,     72.127835835,     881.1655
209,     72.125394533,     881.7521
210,     72.173821181,     879.398
211,     72.314450548,     878.6274
212,     72.514029117,     880.2327
213,     72.639449985,     882.9404
214,     72.690923215,     885.7628
215,     72.686410041,     887.0419
216,     72.421787777,     887.7951
217,     72.039059615,     886.1375
218,     71.90607703,     886.8902
219,     72.087408245,     889.817
220,     72.412100486,     892.7521
221,     72.751422988,     898.1535
222,     73.01349633,     902.3509
223,     73.115850326,     904.4331
224,     73.173787334,     907.2896
225,     73.165100607,     910.6837
226,     73.067304055,     914.8451
